epoch,f1_score,loss,precision_1,recall_1,val_f1_score,val_loss,val_precision_1,val_recall_1
0,"""[0.22570124, 0.22953019, 0.26509023, 0.28571427]""",1.673120141029358,0.26692456007003784,0.04312499985098839,"""[0.0, 0.0, 0.40478566, 0.0]""",1.4142773151397705,0.0,0.0
1,"""[0.14382403, 0.3188544, 0.26891807, 0.24820378]""",1.4713232517242432,0.256038635969162,0.01656249910593033,"""[0.0, 0.0, 0.40478566, 0.0]""",1.388124942779541,0.0,0.0
2,"""[0.12127442, 0.3156917, 0.19835941, 0.3099025]""",1.4056445360183716,0.3139534890651703,0.008437500335276127,"""[0.0, 0.38546923, 0.0, 0.0]""",1.3896093368530273,0.0,0.0
3,"""[0.074235804, 0.3741052, 0.094861664, 0.18489985]""",1.3946239948272705,0.22857142984867096,0.0024999999441206455,"""[0.0, 0.38065195, 0.02764977, 0.11162791]""",1.3866406679153442,0.0,0.0
4,"""[0.13242455, 0.34111023, 0.18634537, 0.27321112]""",1.3869677782058716,0.0,0.0,"""[0.097378284, 0.39337018, 0.0, 0.13333334]""",1.3889843225479126,0.0,0.0
5,"""[0.084974095, 0.28851542, 0.20909089, 0.30034807]""",1.3893359899520874,0.4000000059604645,0.0012499999720603228,"""[0.07547169, 0.0, 0.39664218, 0.0]""",1.4704492092132568,0.30000001192092896,0.014999999664723873
6,"""[0.08359457, 0.23764853, 0.2162544, 0.3394087]""",1.4069286584854126,0.23404255509376526,0.0034374999813735485,"""[0.1090909, 0.3236994, 0.27747747, 0.13333333]""",1.8693554401397705,0.2513369023799896,0.05874999985098839
7,"""[0.1663778, 0.2823649, 0.18867923, 0.32471263]""",1.3919677734375,0.23529411852359772,0.0024999999441206455,"""[0.14772727, 0.22712936, 0.018604651, 0.36069986]""",1.3915624618530273,0.3333333432674408,0.0037499999161809683
8,"""[0.22056632, 0.34250763, 0.12561335, 0.23255815]""",1.387363314628601,0.3333333432674408,0.0012499999720603228,"""[0.07662836, 0.35768265, 0.19512196, 0.09022557]""",1.399316430091858,0.375,0.007499999832361937
9,"""[0.120989926, 0.35038263, 0.23082238, 0.20684737]""",1.3888134956359863,0.5,0.0003124999930150807,"""[0.008928572, 0.25547448, 0.38658148, 0.093023255]""",1.3828320503234863,0.3333333432674408,0.0012499999720603228
10,"""[0.14409222, 0.33821, 0.23292597, 0.26523295]""",1.3899999856948853,0.1428571492433548,0.0006249999860301614,"""[0.0, 0.18965517, 0.4037685, 0.22680414]""",1.3996288776397705,0.0,0.0
11,"""[0.063854046, 0.29534513, 0.31980672, 0.2998149]""",1.382836937904358,0.25,0.0006249999860301614,"""[0.2237288, 0.02020202, 0.4050926, 0.14754099]""",1.3894726037979126,0.0,0.0
12,"""[0.07424072, 0.31594488, 0.2724496, 0.3521946]""",1.3809325695037842,0.0,0.0,"""[0.0, 0.10084032, 0.42060083, 0.40268454]""",1.3716601133346558,0.0,0.0
13,"""[0.13539653, 0.3183761, 0.29305312, 0.3314856]""",1.3666601181030273,0.4375,0.0021875000093132257,"""[0.017699115, 0.1299639, 0.43478262, 0.41564792]""",1.363378882408142,0.0,0.0
14,"""[0.12549801, 0.30715358, 0.31776765, 0.33031946]""",1.3627148866653442,0.46666666865348816,0.0043750000186264515,"""[0.23677582, 0.2601626, 0.31153843, 0.28048778]""",1.370449185371399,0.3333333432674408,0.0012499999720603228
15,"""[0.16468436, 0.3653846, 0.27781048, 0.308977]""",1.354184627532959,0.47999998927116394,0.011250000447034836,"""[0.0088495575, 0.43346006, 0.12587412, 0.4385965]""",1.3675585985183716,0.0,0.0
16,"""[0.15492958, 0.356826, 0.28963938, 0.30019492]""",1.3568555116653442,0.4399999976158142,0.013749999925494194,"""[0.27764705, 0.2928349, 0.4072948, 0.019323671]""",1.3811328411102295,0.20000000298023224,0.0037499999161809683
17,"""[0.116089605, 0.37234625, 0.31113318, 0.35449404]""",1.337802767753601,0.4137931168079376,0.011250000447034836,"""[0.0, 0.01025641, 0.37519872, 0.44364938]""",1.3614453077316284,0.17241379618644714,0.0062500000931322575
18,"""[0.047449585, 0.4615385, 0.33261102, 0.42750534]""",1.284609317779541,0.5410764813423157,0.059687498956918716,"""[0.0, 0.049751244, 0.384, 0.39907193]""",1.4023046493530273,0.3580246865749359,0.036249998956918716
19,"""[0.055555556, 0.5014376, 0.33333334, 0.47387114]""",1.2190991640090942,0.5301794409751892,0.1015625,"""[0.34686345, 0.35649547, 0.3231939, 0.009852217]""",1.4503905773162842,0.5208333134651184,0.03125
20,"""[0.1865471, 0.51915944, 0.34513772, 0.45798323]""",1.1567920446395874,0.5657894611358643,0.13437500596046448,"""[0.26799008, 0.34239128, 0.33206108, 0.24358973]""",1.5456640720367432,0.35514017939567566,0.04749999940395355
21,"""[0.29909614, 0.5874126, 0.43117747, 0.4953013]""",1.0236694812774658,0.5683727860450745,0.23250000178813934,"""[0.2382134, 0.2804878, 0.34108528, 0.25842696]""",1.679042935371399,0.33986929059028625,0.06499999761581421
22,"""[0.24678664, 0.64398825, 0.45650834, 0.547644]""",0.9334887862205505,0.5887691378593445,0.3243750035762787,"""[0.2305296, 0.3274854, 0.35164833, 0.35949367]""",1.8978124856948853,0.33118972182273865,0.1287499964237213
23,"""[0.24279474, 0.6464397, 0.51428574, 0.5622739]""",0.8871777057647705,0.6050988435745239,0.3634375035762787,"""[0.32505643, 0.32608694, 0.3553875, 0.22388059]""",1.862636685371399,0.3140243887901306,0.1287499964237213
24,"""[0.3065574, 0.70879805, 0.5984979, 0.5551331]""",0.8192175030708313,0.6556829214096069,0.42906248569488525,"""[0.27513227, 0.35258356, 0.36672965, 0.34782606]""",1.8624805212020874,0.35537189245224,0.16124999523162842
25,"""[0.28546563, 0.7513813, 0.6503871, 0.59476113]""",0.7580224871635437,0.6682383418083191,0.4871875047683716,"""[0.3112128, 0.34355828, 0.35976785, 0.28482974]""",2.082871198654175,0.3502415418624878,0.18125000596046448
26,"""[0.37088126, 0.7717122, 0.6817102, 0.5733333]""",0.7351782321929932,0.6898707747459412,0.5171874761581421,"""[0.3415638, 0.3647059, 0.36434108, 0.16216217]""",2.0982227325439453,0.35546037554740906,0.20749999582767487
27,"""[0.3314917, 0.81908303, 0.73153156, 0.56542814]""",0.6840503215789795,0.6984702348709106,0.542187511920929,"""[0.26133335, 0.33333334, 0.38019803, 0.35643566]""",2.1335742473602295,0.35483869910240173,0.20624999701976776
28,"""[0.29129663, 0.8173913, 0.75630254, 0.61238766]""",0.6500170826911926,0.7027971744537354,0.5653125047683716,"""[0.25185186, 0.31067958, 0.38132295, 0.28954425]""",2.232851505279541,0.34663864970207214,0.20624999701976776
29,"""[0.28864217, 0.8421053, 0.77837193, 0.5997953]""",0.6418615579605103,0.7083333134651184,0.5737500190734863,"""[0.2437673, 0.33865815, 0.36328122, 0.33333334]""",2.2349610328674316,0.34824901819229126,0.22374999523162842
30,"""[0.30608696, 0.8601616, 0.7868656, 0.6260781]""",0.6088927984237671,0.7287691831588745,0.6087499856948853,"""[0.21857923, 0.29605263, 0.35867444, 0.3597122]""",2.288261651992798,0.34339621663093567,0.22750000655651093
31,"""[0.3464435, 0.86721206, 0.8131737, 0.6167265]""",0.6060497760772705,0.7290419340133667,0.6087499856948853,"""[0.23978202, 0.3116883, 0.3661417, 0.36930454]""",2.316523551940918,0.3457943797111511,0.23125000298023224
32,"""[0.36052197, 0.8792453, 0.8108108, 0.5947955]""",0.5821252465248108,0.7343049049377441,0.614062488079071,"""[0.26932666, 0.31067958, 0.35643563, 0.3419689]""",2.365039110183716,0.3430126905441284,0.23624999821186066
33,"""[0.37748346, 0.8718275, 0.82100236, 0.6388889]""",0.5844836235046387,0.747787594795227,0.6337500214576721,"""[0.26804125, 0.32380953, 0.35937497, 0.3272727]""",2.3976171016693115,0.3495495617389679,0.24250000715255737
34,"""[0.3310696, 0.8827586, 0.82268655, 0.6257669]""",0.5773559808731079,0.733086884021759,0.6196874976158142,"""[0.25954196, 0.31948882, 0.3654224, 0.33678755]""",2.416855573654175,0.3493761122226715,0.24500000476837158
35,"""[0.36928105, 0.88917035, 0.8261905, 0.62773716]""",0.5687152147293091,0.7482645511627197,0.6399999856948853,"""[0.27411166, 0.34591195, 0.3713733, 0.3172043]""",2.4894139766693115,0.3660714328289032,0.2562499940395355
36,"""[0.34003347, 0.8774603, 0.8273424, 0.62570983]""",0.5693871974945068,0.7342000603675842,0.6353124976158142,"""[0.27763498, 0.31847134, 0.37984493, 0.335958]""",2.4928319454193115,0.356890469789505,0.2524999976158142
37,"""[0.34641638, 0.88690096, 0.839013, 0.63302755]""",0.5587658882141113,0.75,0.6356250047683716,"""[0.26912928, 0.33438486, 0.374269, 0.33248082]""",2.5304882526397705,0.356890469789505,0.2524999976158142
